id,sector_region,educ,edad,ingreso,genero
1,Comercio_Biobío,17,59,$730.480,F
2,Agricultura_Maule,12,50,$453.000,M
3,Construcción_Ñuble,11,23,$593.000,M
4,Industria_Ñuble,6,58,,M
5,Industria_Araucanía,17,32,$936.000,M
6,Comercio_Araucanía,13,52,$644.000,M
7,Servicios_Ñuble,15,41,$967.000,M
8,Industria_Ñuble,10,49,$50.000.000,M
9,Comercio_Araucanía,10,41,$569.480,F
10,Servicios_Ñuble,9,51,$614.560,F
11,Construcción_Maule,10,25,$560.000,M
12,Comercio_Biobío,16,44,s/i,F
13,Industria_Maule,9,62,$609.040,F
14,Construcción_Ñuble,7,35,$469.000,M
15,Agricultura_Maule,10,36,$166.520,F
16,Comercio_Ñuble,12,40,$547.400,F
17,Agricultura_Biobío,11,26,$277.840,F
18,Construcción_Ñuble,10,46,$601.000,M
19,Servicios_Araucanía,9,63,$647.680,F
20,Construcción_Biobío,12,150,$692.000,M
21,Servicios_Ñuble,13,55,$806.840,F
22,Servicios_Araucanía,5,57,$399.280,F
23,Industria_Ñuble,99,67,$750.720,F
24,Industria_Araucanía,9,43,$591.560,F
25,Construcción_Ñuble,15,22,$746.000,M
26,Agricultura_Maule,13,24,$458.000,M
27,Agricultura_Maule,14,22,$418.000,M
28,Servicios_Maule,10,56,,F
29,Construcción_Araucanía,11,48,$591.560,F
30,Comercio_Maule,12,62,$529.000,F
31,Industria_Maule,11,62,$657.000,M
32,Industria_Maule,14,62,$696.000,M
33,Servicios_Maule,8,52,$604.000,M
34,Servicios_Biobío,11,43,$685.000,M
35,Industria_Araucanía,12,64,s/i,F
36,Comercio_Araucanía,9,30,$238.280,F
37,Construcción_Maule,12,23,$640.320,F
38,Servicios_Maule,7,48,$469.000,M
39,Agricultura_Araucanía,15,59,$546.480,F
40,Construcción_Biobío,8,29,$491.280,F
41,Agricultura_Araucanía,11,43,$320.160,F
42,Servicios_Biobío,15,19,$1.035.000,M
43,Servicios_Araucanía,10,27,$635.720,F
44,Agricultura_Ñuble,13,45,$454.000,M
45,Servicios_Ñuble,11,31,$735.080,F
